Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C41417351,HX PZ2.54-2x3P WC-A,hanxia,"Through Hole,Right Angle,P=2.54mm",,"2x3P 6P Gold Brass -40℃~+105℃ Pin Header Black 2.54mm 2.5mm 6mm 1kV 3mm 3A 2 Right Angle 2.54mm Through Hole,Right Angle,P=2.54mm Headers, Male Pins RoHS",yes,10,10,10,0.0381,0.38,https://www.lcsc.com/product-detail/C41417351.html
2,C471417,39281063,MOLEX,"Through Hole,P=4.2mm",,"6P 2x3P Tin -40℃~+105℃ White 4.2mm 600V 3 9A 2 Through Hole 4.2mm Through Hole,P=4.2mm Headers, Male Pins RoHS",yes,5,5,5,0.3774,1.89,https://www.lcsc.com/product-detail/C471417.html
3,C17630,0805W8F3300T5E,UNI-ROYAL,0805,,125mW 330Ω 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C17630.html
4,C5353,EL817(B)-F,EVERLIGHT,DIP-4,,"50mA 100mV@20mA,1mA 35V 6V DC DIP-4 Transistor, Photovoltaic Output Optoisolators RoHS",yes,20,20,20,0.0385,0.77,https://www.lcsc.com/product-detail/C5353.html
