Designator,Mid X,Mid Y,Rotation,Layer
J1,145.5,-46.89,90.0,top
J2,159.5,-46.89,90.0,top
J5,169.005,-76.0,180.0,top
R1,143.0,-65.0,90.0,top
R2,150.5,-65.0,90.0,top
R3,158.0,-65.0,90.0,top
R4,165.5,-65.0,90.0,top
U1,146.63,-83.94,0.0,top
U2,141.495,-56.995,90.0,top
U3,148.995,-56.995,90.0,top
U4,156.495,-56.995,90.0,top
U5,163.995,-56.995,90.0,top
